areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2023-04-19,1002,20784719,591,19241754,411,1542965
nation,England,E92000001,2023-04-18,1611,20783717,994,19241163,617,1542554
nation,England,E92000001,2023-04-17,1901,20782106,1181,19240169,720,1541937
nation,England,E92000001,2023-04-16,1740,20780205,1076,19238988,664,1541217
nation,England,E92000001,2023-04-15,1238,20778465,764,19237912,474,1540553
nation,England,E92000001,2023-04-14,1510,20777227,969,19237148,541,1540079
nation,England,E92000001,2023-04-13,1840,20775717,1196,19236179,644,1539538
nation,England,E92000001,2023-04-12,2038,20773877,1315,19234983,723,1538894
nation,England,E92000001,2023-04-11,2267,20771839,1462,19233668,805,1538171
nation,England,E92000001,2023-04-10,2130,20769572,1337,19232206,793,1537366
nation,England,E92000001,2023-04-09,1637,20767442,1095,19230869,542,1536573
nation,England,E92000001,2023-04-08,1525,20765805,1003,19229774,522,1536031
nation,England,E92000001,2023-04-07,1594,20764280,1055,19228771,539,1535509
nation,England,E92000001,2023-04-06,1956,20762686,1288,19227716,668,1534970
nation,England,E92000001,2023-04-05,2234,20760730,1420,19226428,814,1534302
nation,England,E92000001,2023-04-04,2177,20758496,1429,19225008,748,1533488
nation,England,E92000001,2023-04-03,2456,20756319,1562,19223579,894,1532740
nation,England,E92000001,2023-04-02,2249,20753863,1418,19222017,831,1531846
nation,England,E92000001,2023-04-01,2080,20751614,1338,19220599,742,1531015
nation,England,E92000001,2023-03-31,2503,20749534,1596,19219261,907,1530273
nation,England,E92000001,2023-03-30,3044,20747031,1938,19217665,1106,1529366
nation,England,E92000001,2023-03-29,3433,20743987,2111,19215727,1322,1528260
nation,England,E92000001,2023-03-28,3592,20740554,2217,19213616,1375,1526938
nation,England,E92000001,2023-03-27,3922,20736962,2348,19211399,1574,1525563
nation,England,E92000001,2023-03-26,3150,20733040,1878,19209051,1272,1523989
nation,England,E92000001,2023-03-25,2751,20729890,1715,19207173,1036,1522717
nation,England,E92000001,2023-03-24,3735,20727139,2309,19205458,1426,1521681
nation,England,E92000001,2023-03-23,3959,20723404,2371,19203149,1588,1520255
nation,England,E92000001,2023-03-22,4319,20719445,2612,19200778,1707,1518667
nation,England,E92000001,2023-03-21,4750,20715126,2884,19198166,1866,1516960
nation,England,E92000001,2023-03-20,4730,20710376,2789,19195282,1941,1515094
nation,England,E92000001,2023-03-19,3681,20705646,2176,19192493,1505,1513153
nation,England,E92000001,2023-03-18,3099,20701965,1916,19190317,1183,1511648
nation,England,E92000001,2023-03-17,3707,20698866,2336,19188401,1371,1510465
nation,England,E92000001,2023-03-16,4342,20695159,2641,19186065,1701,1509094
nation,England,E92000001,2023-03-15,4366,20690817,2661,19183424,1705,1507393
nation,England,E92000001,2023-03-14,5065,20686451,3059,19180763,2006,1505688
nation,England,E92000001,2023-03-13,5288,20681386,3139,19177704,2149,1503682
nation,England,E92000001,2023-03-12,4025,20676098,2389,19174565,1636,1501533
nation,England,E92000001,2023-03-11,3084,20672073,1892,19172176,1192,1499897
nation,England,E92000001,2023-03-10,3592,20668989,2267,19170284,1325,1498705
nation,England,E92000001,2023-03-09,3959,20665397,2426,19168017,1533,1497380
nation,England,E92000001,2023-03-08,4314,20661438,2633,19165591,1681,1495847
nation,England,E92000001,2023-03-07,4448,20657124,2730,19162958,1718,1494166
nation,England,E92000001,2023-03-06,4575,20652676,2696,19160228,1879,1492448
nation,England,E92000001,2023-03-05,3152,20648101,1897,19157532,1255,1490569
nation,England,E92000001,2023-03-04,2568,20644949,1554,19155635,1014,1489314
nation,England,E92000001,2023-03-03,3417,20642381,2079,19154081,1338,1488300
nation,England,E92000001,2023-03-02,3562,20638964,2233,19152002,1329,1486962
nation,England,E92000001,2023-03-01,3968,20635402,2438,19149769,1530,1485633
nation,England,E92000001,2023-02-28,4151,20631434,2474,19147331,1677,1484103
nation,England,E92000001,2023-02-27,4314,20627283,2625,19144857,1689,1482426
nation,England,E92000001,2023-02-26,2898,20622969,1777,19142232,1121,1480737
nation,England,E92000001,2023-02-25,2524,20620071,1588,19140455,936,1479616
nation,England,E92000001,2023-02-24,3113,20617547,1928,19138867,1185,1478680
nation,England,E92000001,2023-02-23,3482,20614434,2180,19136939,1302,1477495
nation,England,E92000001,2023-02-22,3851,20610952,2317,19134759,1534,1476193
nation,England,E92000001,2023-02-21,4315,20607101,2549,19132442,1766,1474659
nation,England,E92000001,2023-02-20,4544,20602786,2705,19129893,1839,1472893
nation,England,E92000001,2023-02-19,3436,20598242,2061,19127188,1375,1471054
nation,England,E92000001,2023-02-18,2906,20594806,1843,19125127,1063,1469679
nation,England,E92000001,2023-02-17,3780,20591900,2317,19123284,1463,1468616
nation,England,E92000001,2023-02-16,4006,20588120,2506,19120967,1500,1467153
nation,England,E92000001,2023-02-15,3897,20584114,2388,19118461,1509,1465653
nation,England,E92000001,2023-02-14,4354,20580217,2633,19116073,1721,1464144
nation,England,E92000001,2023-02-13,4545,20575863,2763,19113440,1782,1462423
nation,England,E92000001,2023-02-12,2921,20571318,1808,19110677,1113,1460641
nation,England,E92000001,2023-02-11,2394,20568397,1506,19108869,888,1459528
nation,England,E92000001,2023-02-10,3046,20566003,1941,19107363,1105,1458640
nation,England,E92000001,2023-02-09,3038,20562957,1882,19105422,1156,1457535
nation,England,E92000001,2023-02-08,3331,20559919,2000,19103540,1331,1456379
nation,England,E92000001,2023-02-07,3393,20556588,2063,19101540,1330,1455048
nation,England,E92000001,2023-02-06,3620,20553195,2159,19099477,1461,1453718
nation,England,E92000001,2023-02-05,2614,20549575,1570,19097318,1044,1452257
nation,England,E92000001,2023-02-04,2223,20546961,1372,19095748,851,1451213
nation,England,E92000001,2023-02-03,2744,20544738,1706,19094376,1038,1450362
nation,England,E92000001,2023-02-02,2954,20541994,1858,19092670,1096,1449324
nation,England,E92000001,2023-02-01,3209,20539040,1958,19090812,1251,1448228
nation,England,E92000001,2023-01-31,3275,20535831,1941,19088854,1334,1446977
nation,England,E92000001,2023-01-30,3272,20532556,1979,19086913,1293,1445643
nation,England,E92000001,2023-01-29,2249,20529284,1307,19084934,942,1444350
nation,England,E92000001,2023-01-28,1802,20527035,1175,19083627,627,1443408
nation,England,E92000001,2023-01-27,2269,20525233,1453,19082452,816,1442781
nation,England,E92000001,2023-01-26,2334,20522964,1463,19080999,871,1441965
nation,England,E92000001,2023-01-25,2419,20520630,1466,19079536,953,1441094
nation,England,E92000001,2023-01-24,2549,20518211,1532,19078070,1017,1440141
nation,England,E92000001,2023-01-23,2385,20515662,1450,19076538,935,1439124
nation,England,E92000001,2023-01-22,1748,20513277,1017,19075088,731,1438189
nation,England,E92000001,2023-01-21,1400,20511529,902,19074071,498,1437458
nation,England,E92000001,2023-01-20,1700,20510129,1095,19073169,605,1436960
nation,England,E92000001,2023-01-19,1809,20508429,1123,19072074,686,1436355
nation,England,E92000001,2023-01-18,1895,20506620,1207,19070951,688,1435669
nation,England,E92000001,2023-01-17,1984,20504725,1244,19069744,740,1434981
nation,England,E92000001,2023-01-16,2308,20502741,1401,19068500,907,1434241
nation,England,E92000001,2023-01-15,1673,20500433,1020,19067099,653,1433334
nation,England,E92000001,2023-01-14,1326,20498760,896,19066079,430,1432681
nation,England,E92000001,2023-01-13,1910,20497434,1217,19065183,693,1432251
nation,England,E92000001,2023-01-12,2199,20495524,1430,19063966,769,1431558
nation,England,E92000001,2023-01-11,2369,20493325,1556,19062536,813,1430789
nation,England,E92000001,2023-01-10,2799,20490956,1792,19060980,1007,1429976
nation,England,E92000001,2023-01-09,3205,20488157,2022,19059188,1183,1428969
nation,England,E92000001,2023-01-08,2494,20484952,1589,19057166,905,1427786
nation,England,E92000001,2023-01-07,2414,20482458,1630,19055577,784,1426881
nation,England,E92000001,2023-01-06,3410,20480044,2291,19053947,1119,1426097
nation,England,E92000001,2023-01-05,4162,20476634,2647,19051656,1515,1424978
nation,England,E92000001,2023-01-04,5005,20472472,3163,19049009,1842,1423463
nation,England,E92000001,2023-01-03,5738,20467467,3566,19045846,2172,1421621
nation,England,E92000001,2023-01-02,4632,20461729,2943,19042280,1689,1419449
nation,England,E92000001,2023-01-01,3333,20457097,2273,19039337,1060,1417760
nation,England,E92000001,2022-12-31,3887,20453764,2647,19037064,1240,1416700
nation,England,E92000001,2022-12-30,5517,20449877,3758,19034417,1759,1415460
nation,England,E92000001,2022-12-29,6946,20444360,4713,19030659,2233,1413701
nation,England,E92000001,2022-12-28,7606,20437414,5076,19025946,2530,1411468
nation,England,E92000001,2022-12-27,5972,20429808,3917,19020870,2055,1408938
nation,England,E92000001,2022-12-26,4490,20423836,3049,19016953,1441,1406883
nation,England,E92000001,2022-12-25,3382,20419346,2413,19013904,969,1405442
nation,England,E92000001,2022-12-24,3778,20415964,2737,19011491,1041,1404473
nation,England,E92000001,2022-12-23,5221,20412186,3645,19008754,1576,1403432
nation,England,E92000001,2022-12-22,6234,20406965,4234,19005109,2000,1401856
nation,England,E92000001,2022-12-21,7034,20400731,4719,19000875,2315,1399856
nation,England,E92000001,2022-12-20,7829,20393697,5286,18996156,2543,1397541
nation,England,E92000001,2022-12-19,8241,20385868,5466,18990870,2775,1394998
nation,England,E92000001,2022-12-18,5210,20377627,3479,18985404,1731,1392223
nation,England,E92000001,2022-12-17,4272,20372417,2837,18981925,1435,1390492
nation,England,E92000001,2022-12-16,5528,20368145,3776,18979088,1752,1389057
nation,England,E92000001,2022-12-15,5547,20362617,3619,18975312,1928,1387305
nation,England,E92000001,2022-12-14,5961,20357070,3900,18971693,2061,1385377
nation,England,E92000001,2022-12-13,6484,20351109,4219,18967793,2265,1383316
nation,England,E92000001,2022-12-12,6353,20344625,4159,18963574,2194,1381051
nation,England,E92000001,2022-12-11,4224,20338272,2703,18959415,1521,1378857
nation,England,E92000001,2022-12-10,3285,20334048,2180,18956712,1105,1377336
nation,England,E92000001,2022-12-09,3825,20330763,2562,18954532,1263,1376231
nation,England,E92000001,2022-12-08,4092,20326938,2675,18951970,1417,1374968
nation,England,E92000001,2022-12-07,4640,20322846,2945,18949295,1695,1373551
nation,England,E92000001,2022-12-06,4763,20318206,3057,18946350,1706,1371856
nation,England,E92000001,2022-12-05,4852,20313443,3019,18943293,1833,1370150
nation,England,E92000001,2022-12-04,3409,20308591,2182,18940274,1227,1368317
nation,England,E92000001,2022-12-03,2481,20305182,1621,18938092,860,1367090
nation,England,E92000001,2022-12-02,3274,20302701,2150,18936471,1124,1366230
nation,England,E92000001,2022-12-01,3215,20299427,2065,18934321,1150,1365106
nation,England,E92000001,2022-11-30,3608,20296212,2263,18932256,1345,1363956
nation,England,E92000001,2022-11-29,3972,20292604,2525,18929993,1447,1362611
nation,England,E92000001,2022-11-28,4238,20288632,2703,18927468,1535,1361164
nation,England,E92000001,2022-11-27,3151,20284394,1964,18924765,1187,1359629
nation,England,E92000001,2022-11-26,2304,20281243,1486,18922801,818,1358442
nation,England,E92000001,2022-11-25,2640,20278939,1773,18921315,867,1357624
nation,England,E92000001,2022-11-24,3005,20276299,1881,18919542,1124,1356757
nation,England,E92000001,2022-11-23,3241,20273294,2095,18917661,1146,1355633
nation,England,E92000001,2022-11-22,3452,20270053,2122,18915566,1330,1354487
nation,England,E92000001,2022-11-21,3549,20266601,2181,18913444,1368,1353157
nation,England,E92000001,2022-11-20,2611,20263052,1643,18911263,968,1351789
nation,England,E92000001,2022-11-19,2206,20260441,1464,18909620,742,1350821
nation,England,E92000001,2022-11-18,2501,20258235,1669,18908156,832,1350079
nation,England,E92000001,2022-11-17,2703,20255734,1714,18906487,989,1349247
nation,England,E92000001,2022-11-16,2934,20253031,1911,18904773,1023,1348258
nation,England,E92000001,2022-11-15,3160,20250097,2019,18902862,1141,1347235
nation,England,E92000001,2022-11-14,3494,20246937,2209,18900843,1285,1346094
nation,England,E92000001,2022-11-13,2647,20243443,1689,18898634,958,1344809
nation,England,E92000001,2022-11-12,2172,20240796,1474,18896945,698,1343851
nation,England,E92000001,2022-11-11,2561,20238624,1729,18895471,832,1343153
nation,England,E92000001,2022-11-10,2806,20236063,1888,18893742,918,1342321
nation,England,E92000001,2022-11-09,3186,20233257,2108,18891854,1078,1341403
nation,England,E92000001,2022-11-08,3380,20230071,2186,18889746,1194,1340325
nation,England,E92000001,2022-11-07,3879,20226691,2495,18887560,1384,1339131
nation,England,E92000001,2022-11-06,2917,20222812,1863,18885065,1054,1337747
nation,England,E92000001,2022-11-05,2374,20219895,1591,18883202,783,1336693
nation,England,E92000001,2022-11-04,2760,20217521,1929,18881611,831,1335910
nation,England,E92000001,2022-11-03,3262,20214761,2202,18879682,1060,1335079
nation,England,E92000001,2022-11-02,3599,20211499,2417,18877480,1182,1334019
nation,England,E92000001,2022-11-01,4091,20207900,2715,18875063,1376,1332837
nation,England,E92000001,2022-10-31,4633,20203809,3107,18872348,1526,1331461
nation,England,E92000001,2022-10-30,3827,20199176,2567,18869241,1260,1329935
nation,England,E92000001,2022-10-29,3227,20195349,2266,18866674,961,1328675
nation,England,E92000001,2022-10-28,3916,20192122,2834,18864408,1082,1327714
nation,England,E92000001,2022-10-27,4374,20188206,3132,18861574,1242,1326632
nation,England,E92000001,2022-10-26,4924,20183832,3462,18858442,1462,1325390
nation,England,E92000001,2022-10-25,5179,20178908,3654,18854980,1525,1323928
nation,England,E92000001,2022-10-24,6147,20173729,4295,18851326,1852,1322403
nation,England,E92000001,2022-10-23,5011,20167582,3597,18847031,1414,1320551
nation,England,E92000001,2022-10-22,4527,20162571,3315,18843434,1212,1319137
nation,England,E92000001,2022-10-21,5760,20158044,4162,18840119,1598,1317925
nation,England,E92000001,2022-10-20,6076,20152284,4303,18835957,1773,1316327
nation,England,E92000001,2022-10-19,7041,20146208,5039,18831654,2002,1314554
nation,England,E92000001,2022-10-18,7665,20139167,5428,18826615,2237,1312552
nation,England,E92000001,2022-10-17,9295,20131502,6598,18821187,2697,1310315
nation,England,E92000001,2022-10-16,7257,20122207,5220,18814589,2037,1307618
nation,England,E92000001,2022-10-15,6005,20114950,4434,18809369,1571,1305581
nation,England,E92000001,2022-10-14,7343,20108945,5494,18804935,1849,1304010
