areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,2023-03-24,92,189338
nation,England,E92000001,2023-03-23,84,189246
nation,England,E92000001,2023-03-22,75,189162
nation,England,E92000001,2023-03-21,98,189087
nation,England,E92000001,2023-03-20,72,188989
nation,England,E92000001,2023-03-19,72,188917
nation,England,E92000001,2023-03-18,75,188845
nation,England,E92000001,2023-03-17,87,188770
nation,England,E92000001,2023-03-16,78,188683
nation,England,E92000001,2023-03-15,89,188605
nation,England,E92000001,2023-03-14,79,188516
nation,England,E92000001,2023-03-13,86,188437
nation,England,E92000001,2023-03-12,78,188351
nation,England,E92000001,2023-03-11,78,188273
nation,England,E92000001,2023-03-10,74,188195
nation,England,E92000001,2023-03-09,74,188121
nation,England,E92000001,2023-03-08,76,188047
nation,England,E92000001,2023-03-07,74,187971
nation,England,E92000001,2023-03-06,75,187897
nation,England,E92000001,2023-03-05,82,187822
nation,England,E92000001,2023-03-04,82,187740
nation,England,E92000001,2023-03-03,60,187658
nation,England,E92000001,2023-03-02,89,187598
nation,England,E92000001,2023-03-01,63,187509
nation,England,E92000001,2023-02-28,67,187446
nation,England,E92000001,2023-02-27,69,187379
nation,England,E92000001,2023-02-26,76,187310
nation,England,E92000001,2023-02-25,61,187234
nation,England,E92000001,2023-02-24,69,187173
nation,England,E92000001,2023-02-23,66,187104
nation,England,E92000001,2023-02-22,77,187038
nation,England,E92000001,2023-02-21,52,186961
nation,England,E92000001,2023-02-20,63,186909
nation,England,E92000001,2023-02-19,52,186846
nation,England,E92000001,2023-02-18,64,186794
nation,England,E92000001,2023-02-17,70,186730
nation,England,E92000001,2023-02-16,65,186660
nation,England,E92000001,2023-02-15,52,186595
nation,England,E92000001,2023-02-14,68,186543
nation,England,E92000001,2023-02-13,43,186475
nation,England,E92000001,2023-02-12,55,186432
nation,England,E92000001,2023-02-11,55,186377
nation,England,E92000001,2023-02-10,64,186322
nation,England,E92000001,2023-02-09,48,186258
nation,England,E92000001,2023-02-08,62,186210
nation,England,E92000001,2023-02-07,59,186148
nation,England,E92000001,2023-02-06,47,186089
nation,England,E92000001,2023-02-05,64,186042
nation,England,E92000001,2023-02-04,48,185978
nation,England,E92000001,2023-02-03,56,185930
nation,England,E92000001,2023-02-02,67,185874
nation,England,E92000001,2023-02-01,58,185807
nation,England,E92000001,2023-01-31,53,185749
nation,England,E92000001,2023-01-30,53,185696
nation,England,E92000001,2023-01-29,62,185643
nation,England,E92000001,2023-01-28,62,185581
nation,England,E92000001,2023-01-27,66,185519
nation,England,E92000001,2023-01-26,61,185453
nation,England,E92000001,2023-01-25,53,185392
nation,England,E92000001,2023-01-24,70,185339
nation,England,E92000001,2023-01-23,59,185269
nation,England,E92000001,2023-01-22,65,185210
nation,England,E92000001,2023-01-21,62,185145
nation,England,E92000001,2023-01-20,64,185083
nation,England,E92000001,2023-01-19,70,185019
nation,England,E92000001,2023-01-18,73,184949
nation,England,E92000001,2023-01-17,72,184876
nation,England,E92000001,2023-01-16,89,184804
nation,England,E92000001,2023-01-15,86,184715
nation,England,E92000001,2023-01-14,82,184629
nation,England,E92000001,2023-01-13,81,184547
nation,England,E92000001,2023-01-12,102,184466
nation,England,E92000001,2023-01-11,76,184364
nation,England,E92000001,2023-01-10,82,184288
nation,England,E92000001,2023-01-09,108,184206
nation,England,E92000001,2023-01-08,99,184098
nation,England,E92000001,2023-01-07,97,183999
nation,England,E92000001,2023-01-06,86,183902
nation,England,E92000001,2023-01-05,113,183816
nation,England,E92000001,2023-01-04,115,183703
nation,England,E92000001,2023-01-03,110,183588
nation,England,E92000001,2023-01-02,104,183478
nation,England,E92000001,2023-01-01,104,183374
nation,England,E92000001,2022-12-31,128,183270
nation,England,E92000001,2022-12-30,126,183142
nation,England,E92000001,2022-12-29,95,183016
nation,England,E92000001,2022-12-28,110,182921
nation,England,E92000001,2022-12-27,112,182811
nation,England,E92000001,2022-12-26,102,182699
nation,England,E92000001,2022-12-25,104,182597
nation,England,E92000001,2022-12-24,114,182493
nation,England,E92000001,2022-12-23,98,182379
nation,England,E92000001,2022-12-22,83,182281
nation,England,E92000001,2022-12-21,85,182198
nation,England,E92000001,2022-12-20,95,182113
nation,England,E92000001,2022-12-19,95,182018
nation,England,E92000001,2022-12-18,84,181923
nation,England,E92000001,2022-12-17,73,181839
nation,England,E92000001,2022-12-16,72,181766
nation,England,E92000001,2022-12-15,43,181694
nation,England,E92000001,2022-12-14,79,181651
nation,England,E92000001,2022-12-13,60,181572
nation,England,E92000001,2022-12-12,54,181512
nation,England,E92000001,2022-12-11,57,181458
nation,England,E92000001,2022-12-10,57,181401
nation,England,E92000001,2022-12-09,52,181344
nation,England,E92000001,2022-12-08,56,181292
nation,England,E92000001,2022-12-07,50,181236
nation,England,E92000001,2022-12-06,57,181186
nation,England,E92000001,2022-12-05,51,181129
nation,England,E92000001,2022-12-04,30,181078
nation,England,E92000001,2022-12-03,45,181048
nation,England,E92000001,2022-12-02,39,181003
nation,England,E92000001,2022-12-01,48,180964
nation,England,E92000001,2022-11-30,35,180916
nation,England,E92000001,2022-11-29,40,180881
