tarih,gunluk_olum,toplam_olum
2023-03-24,92,189338
2023-03-23,84,189246
2023-03-22,75,189162
2023-03-21,98,189087
2023-03-20,72,188989
2023-03-19,72,188917
2023-03-18,75,188845
2023-03-17,87,188770
2023-03-16,78,188683
2023-03-15,89,188605
2023-03-14,79,188516
2023-03-13,86,188437
2023-03-12,78,188351
2023-03-11,78,188273
2023-03-10,74,188195
2023-03-09,74,188121
2023-03-08,76,188047
2023-03-07,74,187971
2023-03-06,75,187897
2023-03-05,82,187822
2023-03-04,82,187740
2023-03-03,60,187658
2023-03-02,89,187598
2023-03-01,63,187509
2023-02-28,67,187446
2023-02-27,69,187379
2023-02-26,76,187310
2023-02-25,61,187234
2023-02-24,69,187173
2023-02-23,66,187104
2023-02-22,77,187038
2023-02-21,52,186961
2023-02-20,63,186909
2023-02-19,52,186846
2023-02-18,64,186794
2023-02-17,70,186730
2023-02-16,65,186660
2023-02-15,52,186595
2023-02-14,68,186543
2023-02-13,43,186475
2023-02-12,55,186432
2023-02-11,55,186377
2023-02-10,64,186322
2023-02-09,48,186258
2023-02-08,62,186210
2023-02-07,59,186148
2023-02-06,47,186089
2023-02-05,64,186042
2023-02-04,48,185978
2023-02-03,56,185930
2023-02-02,67,185874
2023-02-01,58,185807
2023-01-31,53,185749
2023-01-30,53,185696
2023-01-29,62,185643
2023-01-28,62,185581
2023-01-27,66,185519
2023-01-26,61,185453
2023-01-25,53,185392
2023-01-24,70,185339
2023-01-23,59,185269
2023-01-22,65,185210
2023-01-21,62,185145
2023-01-20,64,185083
2023-01-19,70,185019
2023-01-18,73,184949
2023-01-17,72,184876
2023-01-16,89,184804
2023-01-15,86,184715
2023-01-14,82,184629
2023-01-13,81,184547
2023-01-12,102,184466
2023-01-11,76,184364
2023-01-10,82,184288
2023-01-09,108,184206
2023-01-08,99,184098
2023-01-07,97,183999
2023-01-06,86,183902
2023-01-05,113,183816
2023-01-04,115,183703
2023-01-03,110,183588
2023-01-02,104,183478
