tarih,gunluk_vaka,toplam_vaka
2023-04-19,1002,20784719
2023-04-18,1611,20783717
2023-04-17,1901,20782106
2023-04-16,1740,20780205
2023-04-15,1238,20778465
2023-04-14,1510,20777227
2023-04-13,1840,20775717
2023-04-12,2038,20773877
2023-04-11,2267,20771839
2023-04-10,2130,20769572
2023-04-09,1637,20767442
2023-04-08,1525,20765805
2023-04-07,1594,20764280
2023-04-06,1956,20762686
2023-04-05,2234,20760730
2023-04-04,2177,20758496
2023-04-03,2456,20756319
2023-04-02,2249,20753863
2023-04-01,2080,20751614
2023-03-31,2503,20749534
2023-03-30,3044,20747031
2023-03-29,3433,20743987
2023-03-28,3592,20740554
2023-03-27,3922,20736962
2023-03-26,3150,20733040
2023-03-25,2751,20729890
2023-03-24,3735,20727139
2023-03-23,3959,20723404
2023-03-22,4319,20719445
2023-03-21,4750,20715126
2023-03-20,4730,20710376
2023-03-19,3681,20705646
2023-03-18,3099,20701965
2023-03-17,3707,20698866
2023-03-16,4342,20695159
2023-03-15,4366,20690817
2023-03-14,5065,20686451
2023-03-13,5288,20681386
2023-03-12,4025,20676098
2023-03-11,3084,20672073
2023-03-10,3592,20668989
2023-03-09,3959,20665397
2023-03-08,4314,20661438
2023-03-07,4448,20657124
2023-03-06,4575,20652676
2023-03-05,3152,20648101
2023-03-04,2568,20644949
2023-03-03,3417,20642381
2023-03-02,3562,20638964
2023-03-01,3968,20635402
2023-02-28,4151,20631434
2023-02-27,4314,20627283
2023-02-26,2898,20622969
2023-02-25,2524,20620071
2023-02-24,3113,20617547
2023-02-23,3482,20614434
2023-02-22,3851,20610952
2023-02-21,4315,20607101
2023-02-20,4544,20602786
2023-02-19,3436,20598242
2023-02-18,2906,20594806
2023-02-17,3780,20591900
2023-02-16,4006,20588120
2023-02-15,3897,20584114
2023-02-14,4354,20580217
2023-02-13,4545,20575863
2023-02-12,2921,20571318
2023-02-11,2394,20568397
2023-02-10,3046,20566003
2023-02-09,3038,20562957
2023-02-08,3331,20559919
2023-02-07,3393,20556588
2023-02-06,3620,20553195
2023-02-05,2614,20549575
2023-02-04,2223,20546961
2023-02-03,2744,20544738
2023-02-02,2954,20541994
2023-02-01,3209,20539040
2023-01-31,3275,20535831
2023-01-30,3272,20532556
2023-01-29,2249,20529284
2023-01-28,1802,20527035
2023-01-27,2269,20525233
2023-01-26,2334,20522964
2023-01-25,2419,20520630
2023-01-24,2549,20518211
2023-01-23,2385,20515662
2023-01-22,1748,20513277
2023-01-21,1400,20511529
2023-01-20,1700,20510129
2023-01-19,1809,20508429
2023-01-18,1895,20506620
2023-01-17,1984,20504725
2023-01-16,2308,20502741
2023-01-15,1673,20500433
2023-01-14,1326,20498760
2023-01-13,1910,20497434
2023-01-12,2199,20495524
2023-01-11,2369,20493325
2023-01-10,2799,20490956
2023-01-09,3205,20488157
2023-01-08,2494,20484952
2023-01-07,2414,20482458
2023-01-06,3410,20480044
2023-01-05,4162,20476634
2023-01-04,5005,20472472
2023-01-03,5738,20467467
2023-01-02,4632,20461729
2023-01-01,3333,20457097
2022-12-31,3887,20453764
2022-12-30,5517,20449877
2022-12-29,6946,20444360
2022-12-28,7606,20437414
2022-12-27,5972,20429808
2022-12-26,4490,20423836
2022-12-25,3382,20419346
2022-12-24,3778,20415964
2022-12-23,5221,20412186
2022-12-22,6234,20406965
2022-12-21,7034,20400731
2022-12-20,7829,20393697
2022-12-19,8241,20385868
2022-12-18,5210,20377627
2022-12-17,4272,20372417
2022-12-16,5528,20368145
2022-12-15,5547,20362617
2022-12-14,5961,20357070
2022-12-13,6484,20351109
2022-12-12,6353,20344625
2022-12-11,4224,20338272
2022-12-10,3285,20334048
2022-12-09,3825,20330763
2022-12-08,4092,20326938
2022-12-07,4640,20322846
2022-12-06,4763,20318206
2022-12-05,4852,20313443
2022-12-04,3409,20308591
2022-12-03,2481,20305182
2022-12-02,3274,20302701
2022-12-01,3215,20299427
2022-11-30,3608,20296212
2022-11-29,3972,20292604
2022-11-28,4238,20288632
2022-11-27,3151,20284394
2022-11-26,2304,20281243
2022-11-25,2640,20278939
2022-11-24,3005,20276299
2022-11-23,3241,20273294
2022-11-22,3452,20270053
2022-11-21,3549,20266601
2022-11-20,2611,20263052
2022-11-19,2206,20260441
2022-11-18,2501,20258235
2022-11-17,2703,20255734
2022-11-16,2934,20253031
2022-11-15,3160,20250097
2022-11-14,3494,20246937
2022-11-13,2647,20243443
2022-11-12,2172,20240796
2022-11-11,2561,20238624
2022-11-10,2806,20236063
2022-11-09,3186,20233257
2022-11-08,3380,20230071
2022-11-07,3879,20226691
2022-11-06,2917,20222812
2022-11-05,2374,20219895
2022-11-04,2760,20217521
2022-11-03,3262,20214761
2022-11-02,3599,20211499
2022-11-01,4091,20207900
2022-10-31,4633,20203809
2022-10-30,3827,20199176
2022-10-29,3227,20195349
2022-10-28,3916,20192122
2022-10-27,4374,20188206
2022-10-26,4924,20183832
2022-10-25,5179,20178908
2022-10-24,6147,20173729
2022-10-23,5011,20167582
2022-10-22,4527,20162571
2022-10-21,5760,20158044
2022-10-20,6076,20152284
2022-10-19,7041,20146208
2022-10-18,7665,20139167
2022-10-17,9295,20131502
2022-10-16,7257,20122207
2022-10-15,6005,20114950
2022-10-14,7343,20108945
2022-10-13,7562,20101602
2022-10-12,8120,20094040
2022-10-11,8779,20085920
2022-10-10,9833,20077141
2022-10-09,8014,20067308
2022-10-08,6581,20059294
2022-10-07,8334,20052713
2022-10-06,8818,20044379
2022-10-05,9544,20035561
2022-10-04,10246,20026017
2022-10-03,10881,20015771
2022-10-02,8617,20004890
2022-10-01,6564,19996273
2022-09-30,7098,19989709
2022-09-29,7352,19982611
2022-09-28,7807,19975259
2022-09-27,7644,19967452
2022-09-26,8040,19959808
2022-09-25,6738,19951768
2022-09-24,5309,19945030
2022-09-23,6006,19939721
2022-09-22,6294,19933715
2022-09-21,6940,19927421
2022-09-20,7200,19920481
2022-09-19,5702,19913281
2022-09-18,3943,19907579
2022-09-17,3188,19903636
2022-09-16,3729,19900448
2022-09-15,4201,19896719
2022-09-14,4451,19892518
2022-09-13,4603,19888067
2022-09-12,4749,19883464
2022-09-11,3889,19878715
2022-09-10,2861,19874826
2022-09-09,3103,19871965
2022-09-08,3250,19868862
2022-09-07,3750,19865612
2022-09-06,3941,19861862
2022-09-05,4385,19857921
2022-09-04,3759,19853536
2022-09-03,2971,19849777
2022-09-02,3239,19846806
2022-09-01,3760,19843567
2022-08-31,3975,19839807
2022-08-30,4474,19835832
2022-08-29,3937,19831358
2022-08-28,2882,19827421
2022-08-27,2606,19824539
2022-08-26,2997,19821933
